,was_deleted,time_taken_seconds,backspaces,word_length,delay_after_word_seconds,start_time,end_time,word,versions,prompt_id,prompt,response,char_count,is_short,is_long,chars_per_second,vowel_ratio,word_frequency,has_period,has_comma,is_hyphenated,nr_versions,prev_word_length,prev_time,prev_pause,prev_pause_ratio,word_position,word_relative_position,keyboard_distance,avg_keyboard_distance,sentence_length,edit_distance,distance_backspace_interaction,edit_length_ratio,frequency_length_ratio,position_sentence_interaction,version_edit_interaction
0,0,0.717,0,3,0.24240000000596001,2025-02-01T14:18:59.285Z,2025-02-01T14:19:00.002Z,The,['The'],100,Describe the hustle of a downtown lunch spot during the workweek.,"The lunch spot is full of people, some in a hurry, some not, talking and grabbing food.",3,1,0,4.184100418410042,0.3333333333333333,7.73,0,0,0,1,0,0.0,0.0,0.0,1,0.058823529411764705,6.222539674441619,3.1112698372208096,87,0,0.0,0.0,1.9325,5.117647058823529,0
1,0,1.6840000000000002,0,5,0.19490000000596003,2025-02-01T14:19:00.074Z,2025-02-01T14:19:01.758Z,lunch,['lunch'],100,Describe the hustle of a downtown lunch spot during the workweek.,"The lunch spot is full of people, some in a hurry, some not, talking and grabbing food.",5,0,0,2.9691211401425175,0.2,4.66,0,0,0,1,3,0.717,0.24240000000596001,0.14394299287764845,2,0.11764705882352941,11.030865786510141,2.7577164466275352,87,0,0.0,0.0,0.7766666666666667,10.235294117647058,0
2,0,0.486,0,4,0.31440000000596,2025-02-01T14:19:01.898Z,2025-02-01T14:19:02.384Z,spot,['spot'],100,Describe the hustle of a downtown lunch spot during the workweek.,"The lunch spot is full of people, some in a hurry, some not, talking and grabbing food.",4,1,0,8.23045267489712,0.25,4.89,0,0,0,1,5,1.6840000000000002,0.19490000000596003,0.4010288065966256,3,0.17647058823529413,18.101933598375616,6.0339778661252055,87,0,0.0,0.0,0.978,15.352941176470589,0
3,0,0.339,0,2,0.41419999998807905,2025-02-01T14:19:02.457Z,2025-02-01T14:19:02.796Z,is,['is'],100,Describe the hustle of a downtown lunch spot during the workweek.,"The lunch spot is full of people, some in a hurry, some not, talking and grabbing food.",2,1,0,5.899705014749262,0.5,7.07,0,0,0,1,4,0.486,0.31440000000596,0.9274336283361652,4,0.23529411764705882,8.202438661763951,8.202438661763951,87,0,0.0,0.0,2.356666666666667,20.470588235294116,0
4,0,0.723,0,4,0.337299999982118,2025-02-01T14:19:03.004Z,2025-02-01T14:19:03.727Z,full,['full'],100,Describe the hustle of a downtown lunch spot during the workweek.,"The lunch spot is full of people, some in a hurry, some not, talking and grabbing food.",4,1,0,5.532503457814661,0.25,5.54,0,0,0,1,2,0.339,0.41419999998807905,0.57289073304022,5,0.29411764705882354,7.071067811865474,2.357022603955158,87,0,0.0,0.0,1.108,25.58823529411765,0
5,0,0.665,0,2,0.336599999994039,2025-02-01T14:19:03.856Z,2025-02-01T14:19:04.521Z,of,['of'],100,Describe the hustle of a downtown lunch spot during the workweek.,"The lunch spot is full of people, some in a hurry, some not, talking and grabbing food.",2,1,0,3.007518796992481,0.5,7.4,0,0,0,1,4,0.723,0.337299999982118,0.5072180450858917,6,0.35294117647058826,6.788225099390856,6.788225099390856,87,0,0.0,0.0,2.466666666666667,30.705882352941178,0
6,0,1.197,0,7,0.23940000000596,2025-02-01T14:19:04.557Z,2025-02-01T14:19:05.754Z,"people,","['people,']",100,Describe the hustle of a downtown lunch spot during the workweek.,"The lunch spot is full of people, some in a hurry, some not, talking and grabbing food.",7,0,0,5.847953216374269,0.42857142857142855,6.25,0,1,0,1,2,0.665,0.336599999994039,0.28120300751381705,7,0.4117647058823529,37.900923471598944,6.316820578599824,87,0,0.0,0.0,0.78125,35.8235294117647,0
7,0,1.171,1,4,0.268200000017881,2025-02-01T14:19:05.907Z,2025-02-01T14:19:07.078Z,some,"['si', 'some']",100,Describe the hustle of a downtown lunch spot during the workweek.,"The lunch spot is full of people, some in a hurry, some not, talking and grabbing food.",4,1,0,3.4158838599487615,0.5,6.2,0,0,0,2,7,1.197,0.23940000000596,0.20444064902302306,8,0.47058823529411764,29.41564209736038,5.883128419472076,87,3,29.41564209736038,0.6,1.24,40.94117647058823,6
8,0,0.34400000000000003,0,2,0.262699999988079,2025-02-01T14:19:07.194Z,2025-02-01T14:19:07.538Z,in,['in'],100,Describe the hustle of a downtown lunch spot during the workweek.,"The lunch spot is full of people, some in a hurry, some not, talking and grabbing food.",2,1,0,5.813953488372093,0.5,7.27,0,0,0,1,4,1.171,0.268200000017881,0.7796511628426773,9,0.5294117647058824,1.6970562748477143,1.6970562748477143,87,0,0.0,0.0,2.4233333333333333,46.05882352941177,0
9,0,0.165,0,1,0.38410000002384104,2025-02-01T14:19:07.635Z,2025-02-01T14:19:07.800Z,a,['a'],100,Describe the hustle of a downtown lunch spot during the workweek.,"The lunch spot is full of people, some in a hurry, some not, talking and grabbing food.",1,1,0,6.0606060606060606,1.0,7.36,0,0,0,1,2,0.34400000000000003,0.262699999988079,1.5921212120489636,10,0.5882352941176471,0.0,0.0,87,0,0.0,0.0,3.68,51.1764705882353,0
10,0,1.9729999999999999,0,6,0.218199999988079,2025-02-01T14:19:07.920Z,2025-02-01T14:19:09.893Z,"hurry,","['hurry,']",100,Describe the hustle of a downtown lunch spot during the workweek.,"The lunch spot is full of people, some in a hurry, some not, talking and grabbing food.",6,0,0,3.0410542321338068,0.16666666666666666,4.14,0,1,0,1,1,0.165,0.38410000002384104,0.1946781551058495,11,0.6470588235294118,12.162236636408617,2.4324473272817233,87,0,0.0,0.0,0.5914285714285714,56.294117647058826,0
11,0,0.406,0,4,0.19,2025-02-01T14:19:09.970Z,2025-02-01T14:19:10.376Z,some,['some'],100,Describe the hustle of a downtown lunch spot during the workweek.,"The lunch spot is full of people, some in a hurry, some not, talking and grabbing food.",4,1,0,9.852216748768472,0.5,6.2,0,0,0,1,6,1.9729999999999999,0.218199999988079,0.5374384236159582,12,0.7058823529411765,18.101933598375616,6.0339778661252055,87,0,0.0,0.0,1.24,61.411764705882355,0
12,0,1.179,0,4,1.499599999994039,2025-02-01T14:19:10.465Z,2025-02-01T14:19:11.644Z,"not,","['not,']",100,Describe the hustle of a downtown lunch spot during the workweek.,"The lunch spot is full of people, some in a hurry, some not, talking and grabbing food.",4,1,0,3.3927056827820183,0.25,6.69,0,1,0,1,4,0.406,0.19,0.16115351993214588,13,0.7647058823529411,14.142135623730951,4.714045207910317,87,0,0.0,0.0,1.338,66.52941176470588,0
