word,raw_word,length,writing_time,delay,log_prob
The,The,3,0.717,0.24240000000596046,-0.1256103515625
lunch,lunch,5,1.684,0.19490000000596047,-0.265869140625
spot,spot,4,0.486,0.31440000000596047,-1.7470703125
is,is,2,0.339,0.41419999998807905,-2.669921875
full,full,4,0.723,0.3372999999821186,-0.00681304931640625
of,of,2,0.665,0.33659999999403956,0.0
"people,",people,7,1.197,0.23940000000596046,-0.11602783203125
some,some,4,1.171,0.2682000000178814,-0.023162841796875
in,in,2,0.344,0.2626999999880791,0.0
a,a,1,0.165,0.38410000002384187,-0.0009760856628417969
"hurry,",hurry,6,1.973,0.21819999998807907,-4.84375
some,some,4,0.406,0.19,-0.0670166015625
"not,",not,4,1.179,1.4995999999940395,-4.0078125
talking,talking,7,3.32,0.2664000000059605,-2.58203125
and,and,3,0.429,0.4085,-0.377685546875
grabbing,grabbing,8,2.004,0.5896999999880791,-3.07421875
food.,food,5,2.428,1.539,-20.015625
The,The,3,0.745,0.28669999998807905,-0.002925872802734375
atmosphere,atmosphere,10,1.805,0.19190000000596047,-6.19921875
is,is,2,0.17,0.2525,-0.1759033203125
"quite,",quite,6,2.183,0.6045999999940396,-16.515625
sun,sun,3,0.917,0.2626000000238419,-5.11328125
is,is,2,1.034,0.9003000000119209,-0.10382080078125
"rising,",rising,7,1.975,0.2873000000119209,-4.40625
and,and,3,12.505,0.38689999997615815,-0.0706787109375
the,the,3,0.237,0.14659999999403953,-0.037384033203125
birds,birds,5,0.547,0.21690000000596046,-0.85107421875
singing,singing,7,2.917,0.7056999999880791,-0.403564453125
is,is,2,0.725,0.1597000000178814,-1.2451171875
the,the,3,0.243,0.12109999999403953,-0.017425537109375
only,only,4,0.487,2.0304000000059603,-0.09228515625
sound.,sound,6,6.259,1.1517999999821187,-14.8515625
There,There,5,1.883,0.8127000000178813,-0.007781982421875
is,is,2,0.456,0.5592000000178814,-0.007781982421875
a,a,1,0.381,0.789699999988079,-0.08062744140625
specific,specific,8,1.67,0.21330000001192093,-9.1484375
noise,noise,5,0.933,0.2652000000178814,-9.171875
and,and,3,0.53,1.7808000000119208,-0.2486572265625
smell,smell,5,2.316,0.23659999999403952,-0.43115234375
of,of,2,0.238,0.314,-0.178466796875
"chlorine,",chlorine,9,4.404,1.8814000000059605,-14.3125
water,water,5,2.404,1.0134000000059604,-0.218505859375
is,is,2,0.788,0.296,-0.0439453125
splashing,splashing,9,1.521,4.753099999994039,-4.86328125
and,and,3,1.135,3.8656999999880792,-0.310546875
people,people,6,4.425,0.26,-0.2939453125
are,are,3,0.335,0.8607000000178814,-0.0183868408203125
cheering.,cheering,9,1.203,1.3532000000178814,-11.84375
The,The,3,0.475,0.24569999998807907,-0.01165008544921875
lodge,lodge,5,1.254,0.2624000000059605,-8.9296875
is,is,2,0.25,0.2855,-0.0743408203125
"warm,",warm,5,1.832,0.9849000000059605,-2.765625
the,the,3,1.011,0.2407000000178814,-0.0009760856628417969
sound,sound,5,0.675,0.3842999999821186,-2.6171875
of,of,2,0.378,0.19540000000596047,-0.00681304931640625
fire,fire,4,0.389,0.8625,-2.576171875
burning,burning,7,1.61,0.43440000000596046,-1.7177734375
is,is,2,1.003,0.2472999999821186,-0.2432861328125
nice,nice,4,0.56,4.8105,-4.890625
and,and,3,2.834,0.8645999999940396,-0.66357421875
the,the,3,1.991,0.27209999999403955,-0.0097198486328125
wind,wind,4,0.578,0.5767999999821186,-2.21484375
outside,outside,7,1.553,1.394399999976158,-3.095703125
makes,makes,5,1.738,0.2594000000059605,-0.089599609375
the,the,3,0.379,0.2435,-0.185791015625
atmoshpere,atmoshpere,10,2.739,3.370699999988079,-17.15625
more,more,4,3.311,7.700399999976158,-6.65625
calmin.,calmin,7,3.504,1.280300000011921,-18.328125
There,There,5,0.577,0.9907000000178814,-0.0009760856628417969
is,is,2,1.223,0.19740000000596047,-0.08245849609375
